Date,County,Vegetation_Condition_Index_VCI,Water_Trekking_Distance_KM,Average_Cattle_Price_KES,Cattle_Mortality_Rate_Percent
2025-03-31,Turkana,69.49,2.5,26762,1.44
2025-04-30,Turkana,75.85,4.2,29478,0.61
2025-05-31,Turkana,62.41,7.1,24265,0.74
2025-06-30,Turkana,65.53,7.0,24780,0.74
2025-07-31,Turkana,52.89,12.9,26681,1.8
2025-08-31,Turkana,37.34,13.3,21195,1.99
2025-09-30,Turkana,39.9,11.5,20722,1.67
2025-10-31,Turkana,47.3,9.0,24076,2.42
2025-11-30,Turkana,36.72,12.4,22830,1.25
2020-01-31,Marsabit,59.3,11.1,23604,1.38
2020-02-29,Marsabit,59.29,7.3,25261,1.3
2020-03-31,Marsabit,63.09,4.7,26164,1.62
2020-04-30,Marsabit,65.78,5.7,24063,0.81
2020-05-31,Marsabit,56.81,7.7,24111,0.86
2020-06-30,Marsabit,57.7,7.2,23248,2.22
2020-07-31,Marsabit,53.98,10.0,22290,2.39
2020-08-31,Marsabit,54.11,10.3,26841,1.25
2020-09-30,Marsabit,44.68,10.5,21839,1.04
2020-10-31,Marsabit,52.23,8.2,25595,1.79
2020-11-30,Marsabit,30.87,15.2,18572,1.32
2020-12-31,Marsabit,49.48,5.6,24443,0.55
2021-01-31,Marsabit,30.52,12.8,20453,0.81
2021-02-28,Marsabit,50.69,12.5,24271,1.93
2021-03-31,Marsabit,28.59,19.7,18832,1.82
2021-04-30,Marsabit,29.04,15.8,18722,0.55
2021-05-31,Marsabit,40.99,13.9,21214,0.94
2021-06-30,Marsabit,11.61,22.1,14342,5.7
2021-07-31,Marsabit,23.41,24.1,18641,1.84
2021-08-31,Marsabit,17.55,22.0,17032,3.24
2021-09-30,Marsabit,16.33,19.8,14000,3.78
2021-10-31,Marsabit,8.03,20.7,11925,9.8
2021-11-30,Marsabit,29.63,12.9,20897,0.86
2021-12-31,Marsabit,30.17,16.4,18119,1.81
2022-01-31,Marsabit,20.88,17.2,15255,0.98
2022-02-28,Marsabit,31.71,12.6,20693,0.7
2022-03-31,Marsabit,50.79,8.5,24189,0.99
2022-04-30,Marsabit,37.5,11.6,22555,1.94
2022-05-31,Marsabit,60.72,10.2,23755,2.21
2022-06-30,Marsabit,49.66,11.9,25015,2.16
2022-07-31,Marsabit,29.16,16.2,17952,1.29
2022-08-31,Marsabit,5.0,26.5,8795,11.4
2022-09-30,Marsabit,30.11,16.1,18039,0.91
2022-10-31,Marsabit,13.9,19.1,15086,7.04
2022-11-30,Marsabit,18.46,22.5,16425,3.78
2022-12-31,Marsabit,7.64,23.8,11220,7.8
2023-01-31,Marsabit,20.19,16.9,16015,0.67
2023-02-28,Marsabit,39.96,12.6,23287,0.92
2023-03-31,Marsabit,45.48,9.6,22314,0.55
2023-04-30,Marsabit,45.79,8.5,24314,0.86
2023-05-31,Marsabit,50.44,11.7,23479,1.67
2023-06-30,Marsabit,29.78,19.9,18778,1.34
2023-07-31,Marsabit,31.21,12.8,19469,2.29
2023-08-31,Marsabit,27.13,18.0,17811,2.13
2023-09-30,Marsabit,24.32,16.4,18631,1.18
2023-10-31,Marsabit,18.78,18.4,16018,1.7
2023-11-30,Marsabit,9.92,20.8,11737,6.28
2023-12-31,Marsabit,9.76,20.3,13308,5.52
2024-01-31,Marsabit,60.22,7.0,24922,1.04
2024-02-29,Marsabit,60.16,5.3,25726,1.75
2024-03-31,Marsabit,57.0,8.4,26990,1.32
2024-04-30,Marsabit,77.41,2.0,28912,1.6
2024-05-31,Marsabit,63.92,5.3,24128,1.37
2024-06-30,Marsabit,66.93,3.1,28958,1.09
2024-07-31,Marsabit,50.54,8.7,24395,2.4
2024-08-31,Marsabit,58.99,8.8,24469,2.03
2024-09-30,Marsabit,51.05,10.7,22161,0.78
2024-10-31,Marsabit,33.01,13.1,21240,2.24
2024-11-30,Marsabit,44.78,11.8,23208,1.47
2024-12-31,Marsabit,47.66,12.2,23392,2.29
2025-01-31,Marsabit,60.95,3.4,27658,2.1
2025-02-28,Marsabit,49.78,11.2,25009,1.35
2025-03-31,Marsabit,68.48,3.1,24989,0.54
2025-04-30,Marsabit,73.47,4.1,26587,1.04
2025-05-31,Marsabit,48.92,8.8,22298,1.58
2025-06-30,Marsabit,48.03,7.0,24446,1.77
2025-07-31,Marsabit,33.69,11.6,18337,1.02
2025-08-31,Marsabit,40.34,13.0,22041,0.78
2025-09-30,Marsabit,42.75,12.7,23415,2.17
2025-10-31,Marsabit,47.02,9.1,24852,2.47
2025-11-30,Marsabit,37.6,15.0,20466,1.55
2020-01-31,Wajir,51.57,8.5,20288,1.96
2020-02-29,Wajir,49.67,9.3,21675,0.66
2020-03-31,Wajir,66.26,4.6,21619,0.62
2020-04-30,Wajir,51.38,6.9,22282,0.99
2020-05-31,Wajir,71.22,2.0,25459,0.82
2020-06-30,Wajir,61.28,4.6,22513,2.24
2020-07-31,Wajir,52.05,7.8,18979,0.94
2020-08-31,Wajir,50.36,9.8,19897,2.45
2020-09-30,Wajir,50.33,10.4,21264,1.17
2020-10-31,Wajir,43.11,15.2,21410,0.86
2020-11-30,Wajir,22.28,16.3,15394,2.08
2020-12-31,Wajir,32.26,17.3,16556,1.82
2021-01-31,Wajir,29.45,15.7,17217,1.5
2021-02-28,Wajir,33.76,14.8,17852,1.61
2021-03-31,Wajir,48.68,11.7,21650,1.94
2021-04-30,Wajir,42.39,10.0,17873,0.96
2021-05-31,Wajir,48.33,11.3,21510,2.49
2021-06-30,Wajir,26.01,17.5,16088,2.45
2021-07-31,Wajir,25.01,18.5,17162,1.8
2021-08-31,Wajir,5.38,24.0,8223,10.21
2021-09-30,Wajir,13.64,25.8,12653,3.24
2021-10-31,Wajir,5.0,22.2,8962,11.17
2021-11-30,Wajir,6.11,22.1,8228,9.29
2021-12-31,Wajir,24.07,16.5,16821,1.02
2022-01-31,Wajir,22.62,17.1,15657,1.43
2022-02-28,Wajir,54.17,7.5,19548,2.24
2022-03-31,Wajir,38.65,15.8,17950,1.95
2022-04-30,Wajir,42.24,15.2,20177,1.99
2022-05-31,Wajir,37.63,12.6,16895,1.35
2022-06-30,Wajir,47.74,9.0,20676,1.19
2022-07-31,Wajir,17.34,20.7,13149,3.32
2022-08-31,Wajir,28.16,15.4,16868,2.48
2022-09-30,Wajir,29.37,17.5,15228,0.58
2022-10-31,Wajir,11.3,22.0,12279,5.19
2022-11-30,Wajir,17.12,16.8,14775,4.56
2022-12-31,Wajir,9.89,25.1,11855,5.46
2023-01-31,Wajir,19.75,22.7,15005,3.41
2023-02-28,Wajir,51.41,8.4,19403,1.47
2023-03-31,Wajir,31.47,14.8,18108,2.25
2023-04-30,Wajir,58.47,8.0,19964,2.3
2023-05-31,Wajir,46.45,11.7,18199,1.34
2023-06-30,Wajir,28.59,17.7,15986,1.05
2023-07-31,Wajir,26.95,20.9,16148,1.68
2023-08-31,Wajir,20.52,18.5,15296,2.32
2023-09-30,Wajir,15.46,18.8,13433,4.5
2023-10-31,Wajir,5.0,20.7,8160,13.27
2023-11-30,Wajir,9.87,20.6,10339,5.69
2023-12-31,Wajir,14.46,20.6,13869,4.33
2024-01-31,Wajir,49.4,13.8,20319,0.76
2024-02-29,Wajir,62.47,5.2,22432,1.93
2024-03-31,Wajir,64.41,6.1,21389,2.32
2024-04-30,Wajir,54.32,8.7,22684,0.86
2024-05-31,Wajir,66.03,7.6,24058,0.98
2024-06-30,Wajir,62.38,11.3,21376,2.44
2024-07-31,Wajir,54.48,7.6,19655,0.86
2024-08-31,Wajir,51.15,8.7,21666,2.21
2024-09-30,Wajir,43.68,14.0,20239,1.48
2024-10-31,Wajir,38.67,14.8,17851,0.99
2024-11-30,Wajir,36.45,17.8,19908,2.24
2024-12-31,Wajir,29.21,17.4,15547,1.39
2025-01-31,Wajir,53.44,8.3,20993,1.53
2025-02-28,Wajir,59.16,8.4,24132,1.22
2025-03-31,Wajir,65.16,7.7,22669,1.69
2025-04-30,Wajir,54.79,10.2,22090,0.83
2025-05-31,Wajir,54.34,9.7,20986,1.28
2025-06-30,Wajir,65.93,7.4,22101,2.44
2025-07-31,Wajir,49.68,12.4,22671,1.02
2025-08-31,Wajir,47.95,13.4,20009,1.81
2025-09-30,Wajir,37.24,15.1,19870,1.15
2025-10-31,Wajir,35.24,14.1,17043,2.05
2025-11-30,Wajir,44.52,11.9,18647,0.76
2020-01-31,Garissa,67.46,6.3,23301,2.19
2020-02-29,Garissa,58.11,8.1,25822,0.7
2020-03-31,Garissa,52.73,9.4,21602,1.48
2020-04-30,Garissa,72.97,3.0,25290,0.8
2020-05-31,Garissa,59.04,5.8,22770,1.15
2020-06-30,Garissa,45.05,10.9,20989,1.97
2020-07-31,Garissa,46.58,7.6,20020,1.45
2020-08-31,Garissa,54.51,8.5,23418,1.25
2020-09-30,Garissa,43.81,9.9,19528,1.29
2020-10-31,Garissa,32.21,13.1,20038,1.42
2020-11-30,Garissa,34.22,15.1,18333,2.07
2020-12-31,Garissa,39.93,15.8,20763,2.28
2021-01-31,Garissa,39.35,15.0,22034,2.41
2021-02-28,Garissa,43.75,8.7,22010,2.07
2021-03-31,Garissa,43.26,10.0,21410,1.13
2021-04-30,Garissa,58.16,9.4,23100,1.88
2021-05-31,Garissa,45.03,9.5,20892,1.38
2021-06-30,Garissa,34.93,14.1,20187,1.01
2021-07-31,Garissa,27.49,17.9,19494,2.18
2021-08-31,Garissa,16.5,18.1,14931,1.17
2021-09-30,Garissa,15.88,20.4,14410,3.92
2021-10-31,Garissa,19.09,16.6,16041,2.77
2021-11-30,Garissa,18.86,18.1,15154,2.19
2021-12-31,Garissa,27.76,17.3,16244,1.82
2022-01-31,Garissa,30.95,12.5,18833,2.29
2022-02-28,Garissa,42.03,13.3,22950,1.77
2022-03-31,Garissa,22.95,18.1,15434,1.73
2022-04-30,Garissa,47.31,11.9,22882,0.63
2022-05-31,Garissa,41.47,13.0,19662,1.54
2022-06-30,Garissa,43.53,14.7,21475,0.8
2022-07-31,Garissa,6.13,23.4,8951,9.21
2022-08-31,Garissa,31.26,14.8,18491,1.52
2022-09-30,Garissa,13.11,21.3,13868,3.53
2022-10-31,Garissa,21.68,19.6,15641,0.58
2022-11-30,Garissa,13.31,21.1,13709,5.15
2022-12-31,Garissa,27.28,16.9,18733,1.93
2023-01-31,Garissa,20.87,17.3,17247,0.64
2023-02-28,Garissa,31.53,14.2,17746,0.64
2023-03-31,Garissa,54.6,5.8,22875,0.52
2023-04-30,Garissa,40.47,16.4,19270,2.41
2023-05-31,Garissa,40.61,10.3,22781,1.98
2023-06-30,Garissa,37.99,12.2,21916,1.21
2023-07-31,Garissa,26.77,15.5,17694,1.09
2023-08-31,Garissa,17.93,21.4,15977,3.38
2023-09-30,Garissa,10.6,21.2,12167,5.37
2023-10-31,Garissa,38.95,15.8,20900,1.82
2023-11-30,Garissa,18.61,18.1,13931,4.14
2023-12-31,Garissa,29.0,16.9,19049,0.85
2024-01-31,Garissa,58.41,5.8,22197,0.7
2024-02-29,Garissa,66.34,9.4,26883,1.82
2024-03-31,Garissa,72.49,2.0,27622,2.03
2024-04-30,Garissa,70.11,4.6,26878,1.03
2024-05-31,Garissa,53.85,10.1,21062,0.54
2024-06-30,Garissa,70.57,4.7,24849,0.66
2024-07-31,Garissa,40.83,12.4,19798,2.44
2024-08-31,Garissa,44.92,11.3,20988,1.09
2024-09-30,Garissa,30.98,15.8,17074,2.04
2024-10-31,Garissa,34.49,14.4,21123,1.75
2024-11-30,Garissa,39.64,15.0,20759,1.26
2024-12-31,Garissa,45.07,15.9,20780,0.91
2025-01-31,Garissa,53.38,7.9,22657,0.74
2025-02-28,Garissa,70.41,2.0,25572,1.73
2025-03-31,Garissa,66.62,4.8,25787,2.05
2025-04-30,Garissa,63.05,11.2,24805,1.79
2025-05-31,Garissa,70.7,2.2,28059,1.56
2025-06-30,Garissa,67.02,8.2,25324,0.58
2025-07-31,Garissa,40.18,16.3,22682,2.44
2025-08-31,Garissa,47.28,9.7,23588,2.1
2025-09-30,Garissa,42.62,13.4,19910,1.09
2025-10-31,Garissa,32.62,18.5,20634,2.46
2025-11-30,Garissa,48.02,9.8,20474,1.7
2020-01-31,Mandera,54.31,13.8,27132,1.06
2020-02-29,Mandera,66.08,8.9,28746,2.25
2020-03-31,Mandera,60.07,10.1,25020,0.73
2020-04-30,Mandera,58.29,6.5,27160,1.91
2020-05-31,Mandera,54.63,6.4,28017,1.58
2020-06-30,Mandera,41.77,12.8,23518,0.69
2020-07-31,Mandera,66.45,2.0,25992,0.98
2020-08-31,Mandera,33.67,15.5,22999,0.52
2020-09-30,Mandera,35.24,14.1,20830,1.44
2020-10-31,Mandera,32.79,14.2,20483,1.1
2020-11-30,Mandera,39.47,10.0,21626,1.7
2020-12-31,Mandera,49.03,11.3,24422,1.09
2021-01-31,Mandera,32.25,14.3,22479,1.1
2021-02-28,Mandera,36.86,11.6,22643,1.99
2021-03-31,Mandera,37.95,7.9,21473,0.6
2021-04-30,Mandera,43.84,11.8,26001,2.31
2021-05-31,Mandera,37.59,17.3,24458,2.2
2021-06-30,Mandera,46.31,14.4,26541,1.84
2021-07-31,Mandera,28.78,15.5,19362,1.69
2021-08-31,Mandera,21.3,17.4,17937,2.28
2021-09-30,Mandera,23.27,19.0,20583,0.87
2021-10-31,Mandera,17.01,17.9,17455,2.73
2021-11-30,Mandera,15.98,20.8,14620,3.26
2021-12-31,Mandera,15.97,21.7,14737,3.42
2022-01-31,Mandera,37.32,16.3,22503,0.57
2022-02-28,Mandera,32.28,15.1,23138,1.67
2022-03-31,Mandera,31.99,15.0,21476,2.49
2022-04-30,Mandera,44.08,10.0,24216,2.21
2022-05-31,Mandera,46.07,9.5,22713,1.54
2022-06-30,Mandera,34.91,14.1,22762,0.63
2022-07-31,Mandera,30.87,16.5,22363,2.16
2022-08-31,Mandera,38.91,15.2,22496,1.7
2022-09-30,Mandera,19.01,17.7,18261,3.2
2022-10-31,Mandera,34.3,17.7,23951,0.69
2022-11-30,Mandera,25.2,16.9,18226,2.32
2022-12-31,Mandera,10.1,21.9,13503,5.62
2023-01-31,Mandera,32.05,13.9,20421,2.16
2023-02-28,Mandera,34.51,9.8,23256,2.26
2023-03-31,Mandera,43.33,13.8,24436,1.64
2023-04-30,Mandera,41.39,14.1,24261,1.53
2023-05-31,Mandera,37.24,13.3,23998,1.36
2023-06-30,Mandera,26.39,17.2,19321,1.13
2023-07-31,Mandera,23.79,18.9,20501,1.37
2023-08-31,Mandera,8.91,19.2,12866,8.29
2023-09-30,Mandera,15.59,19.3,14893,2.0
2023-10-31,Mandera,18.56,21.0,17813,3.37
2023-11-30,Mandera,22.77,15.7,19694,1.39
2023-12-31,Mandera,24.9,18.1,18573,1.71
2024-01-31,Mandera,40.43,10.2,25077,1.76
2024-02-29,Mandera,61.06,7.6,29842,1.68
2024-03-31,Mandera,72.56,3.2,28254,1.91
2024-04-30,Mandera,60.12,3.7,30083,0.97
2024-05-31,Mandera,61.92,8.8,25761,1.52
2024-06-30,Mandera,57.62,6.2,25360,0.71
2024-07-31,Mandera,43.72,10.3,22623,1.27
2024-08-31,Mandera,47.69,11.1,26972,1.48
2024-09-30,Mandera,36.04,16.5,23043,1.8
2024-10-31,Mandera,38.36,11.5,21322,2.4
2024-11-30,Mandera,29.91,16.2,20499,1.7
2024-12-31,Mandera,39.0,14.2,23602,1.99
2025-01-31,Mandera,55.78,9.7,24402,1.51
2025-02-28,Mandera,54.52,9.0,28395,1.77
2025-03-31,Mandera,76.81,2.0,32090,0.64
2025-04-30,Mandera,61.8,4.8,27763,1.01
2025-05-31,Mandera,64.79,5.7,30903,1.22
2025-06-30,Mandera,64.96,3.4,27827,1.44
2025-07-31,Mandera,38.65,7.6,25213,0.59
2025-08-31,Mandera,28.41,17.3,21007,0.78
2025-09-30,Mandera,24.8,19.4,19768,1.05
2025-10-31,Mandera,45.1,6.7,22817,2.44
2025-11-30,Mandera,32.59,13.2,23112,1.16
